"Ref Calipso","","","","","","","","","Sex","Sise","",""
"Ordn","Gr","Sg","S","Sx","Nombre Comercial","","Nombre Cientifico","","Sex","Sise","$Bruto","$Bruto"
"MOLUSCOS","","","","","","","","","","","",""
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#8","  7,000 ","  7,700.0 "
"1200","10","32","2","3","Goldfish","Varios Común","Carassius","Auratus","N","#2","  1,050 ","  1,155.0 "
"1200","10","32","3","3","Goldfish","Varios Común","Carassius","Auratus","N","#3","  1,400 ","  1,540.0 "
"1200","10","32","3","3","Goldfish","Varios Común","Carassius","Auratus","N","#4","  2,150 ","  2,365.0 "
"1200","10","32","4","3","Goldfish","Varios Común","Carassius","Auratus","N","#5","  3,000 ","  3,300.0 "
"1200","15","22","2","3","Rasbora","Coli Roja","Rasbora","Borapotensis","N","4cm","  1,300 ","  2,000.0 "
"1200","15","22","2","3","Rasbora","Spei","Rasbora","Heteromorfa","N","2.5cm","  4,500 ","  11,000.0 "
"1200","15","22","3","3","Rasbora","Arlequin","Rasbora","Arlequin","N","2,5cm","  4,500 ","  11,000.0 "
"1200","20","23","2","3","Danio ","Perla","Brachydanio","albolineatus","N","3cm","  1,100 ","  1,430.0 "
"1200","20","24","2","3","Danio ","Gigante","Brachydanio","malabaricus","N","5cm","  1,300 ","  1,430.0 "
"1200","20","27","2","3","Zebra","Común","Brachydanio","rerio","N","3cm","  700 ","  770.0 "
"1200","20","28","2","3","Zebra","Roja","Brachydanio","rerio","N","3cm","  900 ","  990.0 "
"1200","20","33","2","3","Zebra","Amarilla","Brachydanio","rerio","N","3cm","  900 ","  990.0 "
"1200","20","34","2","3","Zebra","Verde","Brachydanio","rerio","N","3cm","  900 ","  990.0 "
"1200","20","35","2","3","Zebra","Fucsia Roja","Brachydanio","rerio","N","3cm","  900 ","  990.0 "
"1200","25","29","2","3","Neon Chino","Común","Tanichthys","albonubes","N","2.5cm","  1,300 ","  1,430.0 "
"1200","25","29","2","3","Neon Chino","Velo","Tanichthys","albonubes","N","2.5cm","  1,950 ","  2,145.0 "
"ATHERINIFORMES","","","","","","","","","","","",""
"1300","01","01","2","3","Arco Iris","de Madagascar","Bedotia","geagi","N","4cm","  4,800 ","  10,000.0 "
"1300","05","02","2","3","Arco Iris","Rojo","Glossolepis","incisus","N","4.5cm","  4,800 ","  12,000.0 "
"1300","10","03","2","3","Arco Iris","Bosemani","Melanotenia","boesemani","N","4.5cm","  6,450 ","  14,000.0 "
"1300","10","04","2","3","Arco Iris","Axelrodi","Melanotenia","hebertaxelrodi","N","4.5cm","  4,800 ","  10,000.0 "
"1300","10","05","2","3","Arco Iris","McCuloch","Melanotenia","maccullochi","N","4.5cm","  3,800 ","  10,000.0 "
"1300","10","06","2","3","Arco Iris","Precox","Melanotenia","praecox","N","3cm","  4,800 ","  10,000.0 "
"1300","10","07","2","3","Arco Iris","Azul","Melanotenia","locustre","N","4cm","  4,800 ","  10,000.0 "
"1300","15","08","2","3","Arco Iris ","Aleta Filamentosa","Iriantherina","werneri","N","3cm","  6,450 ","  13,000.0 "
"1300","20","09","2","3","Arco Iris ","Islas Celebes","Telmatherina ","ladigesi","N","2.5cm","  6,450 ","  13,000.0 "
"POECILIDOS","","","","","","","","","","","",""
"1400","01","01","2","1","Gupy ","de Velo Multicolor","Poecilia","reticulata","M","4cm","  1,750 ","  1,925.0 "
"1400","01","01","3","1","Gupy","de Velo Multicolor","Poecilia","reticulata","H","4.5cm","  1,200 ","  1,320.0 "
"1400","01","02","2","3","Molly","Negra","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","03","2","3","Molly","Amarilla","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","07","2","3","Molly","Amarilla Ojo Rojo","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","04","2","3","Molly","Chocolate","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","15","2","3","Molly","Dalmata ","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","05","2","3","Molly","Globo","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","06","2","3","Molly","Silver","Poecilia","latipina","N","4.5cm","  1,100 ","  1,210.0 "
"1400","01","17","2","3","Molly","Lira","Poecilia","latipina","N","4.5cm","  1,750 ","  1,925.0 "
"1400","01","07","2","3","Espada","Varios","Poecilia","latipina","N","5cm","  1,250 ","  1,375.0 "
"1400","01","18","2","3","Espada","Koi","Poecilia","latipina","N","5cm","  3,200 ","  3,520.0 "
"1400","05","08","1","3","Platys","Gold","Xiphophorus","maculatus","N","3cm","  650 ","  715.0 "
"1400","05","08","2","3","Platys","Gold","Xiphophorus","maculatus","N","4cm","  900 ","  990.0 "
"1400","05","09","1","3","Platys","Mikey","Xiphophorus","maculatus","N","3cm","  650 ","  715.0 "
"1400","05","09","2","3","Platys","Mikey","Xiphophorus","maculatus","N","4cm","  900 ","  990.0 "
"1400","05","10","2","3","Platys","Plump Tail","Xiphophorus","maculatus","N","4.5cm","  1,300 ","  1,430.0 "
